,datetime,tempmin,temp,tempmax
0,2023-07-10,19.4,20.2,21.2
1,2023-07-11,19.3,25.3,30.6
2,2023-07-12,22.1,27.3,31.7
3,2023-07-13,21.6,25.9,31.1
4,2023-07-14,20.6,23.8,27.1
5,2023-07-15,21.7,25.6,30.0
6,2023-07-16,22.9,24.4,26.1
7,2023-07-17,23.3,27.0,31.5
