,datetime,description,icon
0,2023-07-10,Cloudy skies throughout the day with rain.,rain
1,2023-07-11,Clearing in the afternoon.,partly-cloudy-day
2,2023-07-12,Becoming cloudy in the afternoon.,partly-cloudy-day
3,2023-07-13,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-07-14,Partly cloudy throughout the day with a chance of rain throughout the day.,rain
5,2023-07-15,Partly cloudy throughout the day.,partly-cloudy-day
6,2023-07-16,Cloudy skies throughout the day with rain.,rain
7,2023-07-17,Clearing in the afternoon with early morning rain.,rain
