,datetime,description,icon
0,2023-07-31,Partly cloudy throughout the day with late afternoon rain.,rain
1,2023-08-01,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-08-02,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-08-03,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-08-04,Partly cloudy throughout the day with a chance of rain.,rain
5,2023-08-05,Partly cloudy throughout the day with early morning rain.,rain
6,2023-08-06,Partly cloudy throughout the day.,partly-cloudy-day
7,2023-08-07,Partly cloudy throughout the day.,partly-cloudy-day
