,datetime,tempmin,temp,tempmax
0,2023-07-31,16.7,22.8,27.8
1,2023-08-01,18.3,21.6,25.6
2,2023-08-02,16.0,19.6,21.7
3,2023-08-03,17.3,21.1,23.9
4,2023-08-04,20.0,21.2,22.3
5,2023-08-05,19.4,22.7,26.5
6,2023-08-06,17.6,22.5,26.8
7,2023-08-07,18.7,22.2,25.4
