,datetime,description,icon
0,2023-07-17,Clearing in the afternoon with early morning rain.,rain
1,2023-07-18,Partly cloudy throughout the day with late afternoon rain.,rain
2,2023-07-19,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-07-20,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-07-21,Partly cloudy throughout the day with late afternoon rain.,rain
5,2023-07-22,Partly cloudy throughout the day with early morning rain.,rain
6,2023-07-23,Partly cloudy throughout the day.,partly-cloudy-day
7,2023-07-24,Partly cloudy throughout the day.,partly-cloudy-day
