,datetime,tempmin,temp,tempmax
0,2023-07-24,21.0,25.3,29.3
1,2023-07-25,20.5,23.3,29.3
2,2023-07-26,19.9,25.5,30.6
3,2023-07-27,21.7,25.9,32.8
4,2023-07-28,23.8,27.0,31.7
5,2023-07-29,18.4,25.0,30.0
6,2023-07-30,16.1,21.0,26.1
7,2023-07-31,16.7,22.8,27.8
