,datetime,description,icon
0,2023-07-24,Partly cloudy throughout the day.,partly-cloudy-day
1,2023-07-25,Partly cloudy throughout the day with rain.,rain
2,2023-07-26,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-07-27,Partly cloudy throughout the day with late afternoon rain.,rain
4,2023-07-28,Partly cloudy throughout the day.,partly-cloudy-day
5,2023-07-29,Partly cloudy throughout the day with rain.,rain
6,2023-07-30,Partly cloudy throughout the day with early morning rain.,rain
7,2023-07-31,Partly cloudy throughout the day with late afternoon rain.,rain
